"","County","State","Democrat vote raw","Democrat vote %","Republican vote raw","Republican vote %","Other vote raw","Other vote %","Less than 9th grade","9th to 12th grade","HS graduate and eq","College,No Degree","Associates Degree","Bachelors Degree","Graduate or professional degree","Gini Index","Median income","Mean income","Area","Density","Total Pop","Hispanic or Latino %","NH-White %","NH-Black %","NH-American Native %","NH-Asian %","NH-Native Pacific Islander %","NH-Other Race %","NH-Two or More Races %","% in Management, business, science, and arts","% in Service","% in Sales and Office","% in Resources and Construction","% in Transportation","Party"
"818","Delaware County","Iowa",3157,31.56,6666,66.64,180,1.8,2.3,5.6,42.6,17.2,13.8,13.6,4.9,0.4374,75896,97812,1496.19,11.71,17488,1.4,95.53,0.7,0.14,0.22,0,0.17,1.85,31.43,15.91,17.37,12.88,22.41,"Republican"
"819","Des Moines County","Iowa",8893,44.56,10592,53.08,471,2.36,1.6,5.5,34.9,21.1,13.6,15.3,8,0.4749,58084,80551,1077.77,36.02,38910,3.2,84.18,6.43,0.17,1.02,0.05,0.33,4.62,32.57,16.66,20.76,7.93,22.08,"Republican"
"820","Dickinson County","Iowa",3661,32.56,7438,66.15,145,1.29,1.6,1.9,28.6,21.6,13.6,24.6,8.1,0.4414,72446,97496,985.57,17.95,17703,2.29,94.39,0.43,0.08,0.45,0.01,0.14,2.21,33.53,15.44,24.02,9.94,17.07,"Republican"
"821","Dubuque County","Iowa",25657,47.58,27214,50.47,1055,1.96,1.9,4.1,33.4,17.8,10.8,21.3,10.7,0.4432,73495,95084,1575.49,62.72,99266,3,87.99,4.06,0.13,1.03,0.82,0.26,2.71,37.43,16.12,20.17,7.48,18.8,"Republican"
"822","Emmet County","Iowa",1520,31.32,3265,67.28,68,1.4,4.2,8.6,33.4,21.4,17.3,11,4.2,0.428,64461,77456,1025.35,9.12,9388,9.45,86.64,0.95,0.33,0.34,0.03,0.12,2.14,27.82,17.92,17.37,9.92,26.98,"Republican"
"823","Fayette County","Iowa",3835,37.65,6145,60.33,206,2.02,2.6,4.6,42.1,21.2,12.4,12.4,4.8,0.4482,56043,72851,1892.81,10.31,19509,2.67,92.54,1.03,0.21,0.4,0.01,0.16,3,30.56,15.3,18.86,14.02,21.26,"Republican"
"824","Floyd County","Iowa",3172,39.49,4732,58.91,128,1.59,3.6,3.2,40.8,20,14.1,13.1,5.1,0.4419,62356,81040,1296.47,12.03,15627,3.52,88.99,2.66,0.19,1.87,0.08,0.09,2.6,35.97,15.82,16,12.81,19.4,"Republican"
"825","Franklin County","Iowa",1626,31.7,3422,66.71,82,1.6,3.6,4,38.9,22.7,12.2,15.2,3.4,0.4214,62214,72225,1507.3,6.64,10019,16.31,80.19,0.32,0.18,0.49,0,0.26,2.26,27.9,16.24,20.25,13.5,22.11,"Republican"
"826","Fremont County","Iowa",1080,28,2711,70.29,66,1.71,1.4,3.7,35.9,24.4,15.4,16.1,3,0.432,69375,88553,1323.92,5.01,6605,2.88,93.04,0.15,0.29,0.12,0.08,0.3,3.15,36.59,19.4,15.37,11.63,17,"Republican"
"827","Greene County","Iowa",1769,34.98,3223,63.73,65,1.29,1.9,5,35.1,23.4,15,14.4,5.3,0.4073,56884,72184,1475.15,5.97,8771,2.92,93.35,0.25,0.17,0.55,0.01,0.14,2.61,35.15,15,16.53,10.19,23.13,"Republican"
"828","Grundy County","Iowa",2206,30.32,4929,67.74,141,1.94,1.2,3,33.4,20.5,15.8,19.6,6.6,0.3727,80701,93098,1299.8,9.5,12329,1.18,95.64,0.35,0.08,0.19,0,0.12,2.44,39.43,13.83,17.1,12.18,17.47,"Republican"
"829","Guthrie County","Iowa",1985,31.16,4272,67.05,114,1.79,1.5,4.3,34.2,23.7,14.8,15.4,6.3,0.4266,75795,92867,1529.66,6.94,10623,2.58,93.76,0.25,0.2,0.35,0.15,0.48,2.23,34.04,13.9,23.09,15.63,13.34,"Republican"
"830","Hamilton County","Iowa",2843,35.79,4956,62.39,144,1.81,3.4,4,34.4,20.4,15.4,17.7,4.9,0.4293,66685,83101,1493.73,10.03,15039,9.74,84.46,0.59,0.17,2.09,0,0.18,2.78,31.85,12.67,24.35,13.74,17.39,"Republican"
"831","Hancock County","Iowa",1683,27.27,4390,71.13,99,1.6,1.4,7.2,36.1,20.7,14.3,16.4,3.8,0.4104,67865,81776,1478.9,7.3,10795,5.69,90.9,0.7,0.2,0.23,0,0.03,2.24,34.04,14.49,15.15,13.41,22.9,"Republican"
"832","Hardin County","Iowa",2976,33.11,5850,65.08,163,1.81,2.1,4.5,34.9,23.5,14.1,15,5.8,0.4078,64656,73266,1474.5,11.44,16878,4.85,90.6,0.85,0.15,0.51,0.01,0.19,2.84,31.86,15.64,19.73,15.66,17.12,"Republican"
"833","Harrison County","Iowa",2440,29.92,5569,68.29,146,1.79,1.8,5.1,37.8,24.6,10.1,15,5.6,0.4097,75830,89903,1804.9,8.1,14582,2.01,94.76,0.19,0.17,0.34,0,0.16,2.37,36.62,14.15,20.97,13.45,14.81,"Republican"
"834","Henry County","Iowa",3275,32.81,6507,65.19,200,2,3.3,5.5,34.4,22,11.9,15.9,6.9,0.3963,62365,76704,1124.8,18.17,20482,5.29,86.14,2.45,0.29,2.2,0.04,0.36,3.24,29.68,18.71,18.41,10.45,22.74,"Republican"
"835","Howard County","Iowa",1772,35.74,3127,63.07,59,1.19,4.6,3.4,41.1,18.7,13,15.4,3.8,0.4194,63947,80838,1225.7,7.73,9469,2.72,93.89,0.24,0.35,0.29,0.07,0.15,2.29,27.51,11.18,20.03,16.71,24.57,"Republican"
"836","Humboldt County","Iowa",1442,27.07,3819,71.69,66,1.24,1.4,4.5,37.1,19.6,19.1,14.5,3.9,0.4353,66617,81193,1125.02,8.54,9597,4.48,91.93,0.55,0.17,0.22,0.06,0.23,2.35,33.14,13.46,20.08,11.13,22.2,"Republican"
"837","Ida County","Iowa",917,23.82,2880,74.82,52,1.35,1.4,5.5,39.4,19.6,14.4,15.3,4.4,0.4329,63125,82137,1117.61,6.24,7005,3.64,93.56,0.4,0,0.26,0.16,0.23,1.76,31.44,15.79,19.83,15.53,17.41,"Republican"
"838","Iowa County","Iowa",3547,36.41,6009,61.68,186,1.91,2,4.3,35.5,21.7,13.7,16.2,6.5,0.4503,69787,97019,1518.91,10.91,16662,2.97,92.39,0.67,0.17,0.5,0.01,0.34,2.95,36.97,16.46,15.97,12.81,17.79,"Republican"
"839","Jackson County","Iowa",4029,36.18,6940,62.33,166,1.49,2.2,3.8,42,22.7,10.8,13.2,5.2,0.4173,69709,82447,1647.34,11.82,19485,1.22,94.27,0.72,0.17,0.24,0.98,0.26,2.15,30.2,14.53,20.25,14.75,20.27,"Republican"
"840","Jasper County","Iowa",7737,38.33,12084,59.87,363,1.8,2.1,3.7,40.6,20.9,13,13.8,5.9,0.4237,67784,87626,1891.8,19.99,37813,2.87,91.09,1.81,0.24,0.57,0.08,0.28,3.06,33.84,15.6,19.96,11.17,19.43,"Republican"
"841","Jefferson County","Iowa",4319,48.21,4443,49.59,197,2.2,2.8,3.9,23.8,18.9,11.1,22.6,16.9,0.5262,52210,80266,1128,13.99,15663,3.89,85.71,2.61,0.27,3.19,0.06,0.54,3.72,40.75,16.77,15.33,10.02,17.14,"Republican"
"842","Johnson County","Iowa",59177,70.57,22925,27.34,1749,2.09,1.9,2,15.6,17.6,8.8,29.5,24.7,0.4945,72977,103328,1587.66,96.59,152854,6.67,74.9,8.27,0.13,5.6,0.03,0.35,4.06,50.21,16.3,17.75,5.41,10.32,"Democrat"
"843","Jones County","Iowa",4213,38.34,6572,59.81,204,1.86,1.5,4.3,38.6,19,14.2,15.5,7,0.395,68781,83469,1490.84,13.91,20646,2.41,92.04,2.12,0.26,0.28,0.01,0.31,2.59,35.4,12.71,21.12,10.49,20.29,"Republican"
"844","Keokuk County","Iowa",1414,26.66,3797,71.6,92,1.73,2,4.5,44.2,20.3,12.6,11.7,4.7,0.444,60016,78499,1500.06,6.68,10033,2.14,94.45,0.47,0.04,0.16,0,0.07,2.67,32.97,12.91,18.14,14.14,21.83,"Republican"
"845","Kossuth County","Iowa",2696,29.66,6275,69.03,119,1.31,1.7,4.6,34.6,23.5,15.8,14.5,5.4,0.406,62553,77186,2519.36,5.84,14828,4.07,92.78,0.48,0.06,0.48,0.02,0.1,2.01,30.02,14.12,18.42,14.79,22.65,"Republican"
"846","Lee County","Iowa",6541,39.09,9773,58.4,420,2.51,1.5,4.4,37.9,21.6,14.3,14.6,5.8,0.4478,58094,75411,1340.45,24.95,33555,3.31,89.07,2.67,0.14,0.41,0.02,0.21,4.16,33.66,18.23,18.4,10.07,19.65,"Republican"
"847","Linn County","Iowa",70874,55.61,53364,41.87,3220,2.53,1.4,3.6,26.2,20.8,13.3,23.7,10.9,0.4456,75457,99589,1857.05,123.48,230299,3.87,81.59,7.03,0.17,2.32,0.23,0.29,4.5,40.15,14.63,22,7.74,15.47,"Democrat"
"848","Louisa County","Iowa",1726,32.37,3500,65.64,106,1.99,4.9,9.1,39.1,20.7,11.9,11.4,3,0.4264,72500,90256,1040.6,10.4,10837,15.95,78.3,0.67,0.1,2.45,0,0.13,2.41,27.49,15.89,16.45,15.17,25,"Republican"
"849","Lucas County","Iowa",1284,27.73,3287,70.99,59,1.27,3.6,4.1,44.1,23.5,9.9,10.7,4.2,0.4386,63405,77054,1115.46,7.77,8634,2.29,94.44,0.21,0.07,0.34,0,0.07,2.58,27.09,14.18,21.27,12.42,25.04,"Republican"
"850","Lyon County","Iowa",1067,15.55,5707,83.16,89,1.3,3,2.3,41.6,18.1,15.6,15.2,4.2,0.3879,73735,89292,1521.9,7.9,11934,3.41,93.64,0.32,0.17,0.2,0.36,0.04,1.86,37.59,13.58,20.44,10.68,17.71,"Republican"
"851","Madison County","Iowa",3134,31.9,6507,66.24,183,1.86,1,2,34,25.6,11.5,19.3,6.5,0.3697,88110,98671,1453,11.43,16548,1.91,93.69,0.27,0.09,0.5,0.05,0.34,3.14,39.96,11.67,22,14.15,12.23,"Republican"
"852","Mahaska County","Iowa",2894,25.38,8297,72.76,213,1.87,2.4,4.4,38.3,20.7,11.8,16.7,5.7,0.4256,65200,81121,1478.5,14.92,22190,2.16,91.3,1.73,0.18,1.13,0.07,0.15,3.28,35.05,15.29,16.37,11.57,21.73,"Republican"
"853","Marion County","Iowa",6178,32.12,12663,65.84,391,2.03,2,4,32.1,19.2,11.1,21.4,10.4,0.4294,74193,94589,1436.12,23.32,33414,2.09,92.53,0.84,0.19,1.2,0.06,0.26,2.82,38.53,14.66,18.84,8.37,19.6,"Republican"
"854","Marshall County","Iowa",8176,45.08,9571,52.77,389,2.14,9.1,5.7,33.5,19.5,11.2,14.9,6.1,0.3947,70828,82035,1482.78,27.01,40105,22.79,68.42,1.96,0.38,3.78,0.08,0.15,2.45,30.42,15.93,17.06,11.46,25.13,"Republican"
"855","Mills County","Iowa",2508,30.33,5585,67.55,175,2.12,1.2,3.7,29,23.4,12.2,21,9.5,0.4349,81907,105654,1132.94,12.89,14484,3.18,92.03,0.53,0.14,0.33,0.07,0.21,3.49,43.13,14.77,18.46,9.39,14.25,"Republican"
"856","Mitchell County","Iowa",2053,35.26,3677,63.16,92,1.58,3.5,4.2,35.6,19.1,16.1,15.7,5.7,0.4128,66056,82619,1215.37,8.67,10565,1.83,95.41,0.4,0.03,0.43,0.04,0.22,1.66,35.03,14.07,15.49,13.5,21.91,"Republican"
"857","Monona County","Iowa",1407,29.76,3248,68.7,73,1.54,1.8,5.1,39.7,26.6,11,11.2,4.5,0.3996,59897,73609,1797.64,4.82,8751,2.7,92,0.32,1.67,0.31,0.02,0.29,2.7,32.85,17.22,20.21,14.88,14.84,"Republican"
"858","Monroe County","Iowa",1078,26.37,2975,72.77,35,0.86,2.6,4.4,39.7,18.8,11.8,18.5,4.2,0.3977,76324,82311,1123.3,6.74,7577,1.54,94.92,0.24,0.16,0.21,0.03,0.41,2.49,37.71,11.57,19.45,11.99,19.28,"Republican"
"859","Montgomery County","Iowa",1583,29.72,3659,68.69,85,1.6,2.2,6.2,34.7,23.5,14.9,13.5,5.1,0.4739,61261,83161,1098.41,9.36,10330,3.59,92.96,0.24,0.17,0.2,0.02,0.07,2.74,29.35,15.43,22.89,11.65,20.69,"Republican"
"860","Muscatine County","Iowa",9372,45.34,10823,52.36,476,2.3,3.6,6.3,35,20.1,11.8,16.4,6.9,0.4073,67427,84799,1132.96,37.93,43235,17.97,75.48,2.51,0.13,0.93,0,0.24,2.73,30.69,16.28,15.72,8.95,28.36,"Republican"
"861","O'Brien County","Iowa",1569,20.78,5861,77.62,121,1.6,2.2,7.1,37.1,17.6,14.4,17,4.5,0.3961,65076,77922,1484.15,9.53,14182,6.95,88.91,1.12,0.27,0.56,0.08,0.18,1.93,33.67,15.53,15.37,13.3,22.13,"Republican"
"862","Osceola County","Iowa",601,18.06,2690,80.83,37,1.11,6.6,7.2,38.1,20,13.9,9.9,4.3,0.4037,67561,81183,1032.59,5.95,6192,9.74,86.26,0.45,0.29,0.34,0.58,0.18,2.16,30.24,12.29,15.65,17.26,24.56,"Republican"
"863","Page County","Iowa",2086,27.71,5319,70.66,123,1.63,2,5.2,40.8,22.2,12.2,12.2,5.5,0.4564,58264,76013,1385.5,10.99,15211,3.05,89.97,2.4,0.39,0.77,0,0.1,3.31,31.79,14.78,17.97,8.27,27.18,"Republican"
"864","Palo Alto County","Iowa",1519,30.64,3370,67.97,69,1.39,2.2,4.8,30.2,28.6,14,14.6,5.6,0.421,67306,80710,1460.4,6.12,8996,3.05,93.27,0.58,0.17,0.41,0.07,0.23,2.22,29.91,11.86,22.17,14.24,21.81,"Republican"
"865","Plymouth County","Iowa",3494,24.63,10492,73.95,202,1.42,2.8,2.9,36,19.8,14.4,17.9,6.2,0.4083,79963,98322,2234.72,11.46,25698,5.82,89.27,1.38,0.19,0.43,0.46,0.21,2.25,34.55,15.13,17.75,11.93,20.64,"Republican"
"866","Pocahontas County","Iowa",933,24.4,2826,73.92,64,1.67,1.4,7.1,37.7,22.1,14.6,13,4,0.3999,61434,76294,1495.05,4.72,7078,5,90.18,0.93,0.14,0.41,0.32,0.34,2.67,30.79,14.35,18.79,13.42,22.65,"Republican"
"867","Polk County","Iowa",146250,56.52,106800,41.27,5705,2.2,3.6,3.8,24.7,18.8,10.3,26.5,12.4,0.4331,78827,101787,1482.46,332.81,492401,9.76,73.57,7.11,0.22,4.94,0.06,0.35,4,44.03,14.89,21.29,7.3,12.49,"Democrat"
"868","Pottawattamie County","Iowa",18575,40.61,26247,57.38,922,2.02,2.9,6.5,33.6,22.3,11.3,16.1,7.3,0.43,68718,85937,2463.78,37.97,93667,8.18,84.53,1.96,0.42,0.83,0.08,0.3,3.71,34.5,17.19,21.26,10.39,16.67,"Republican"
"869","Poweshiek County","Iowa",4306,42.47,5657,55.79,177,1.75,2.4,2.8,39,17.6,9.4,16.3,12.6,0.4801,61192,87550,1514.94,12.28,18662,2.83,91.12,1.71,0.28,1.18,0.11,0.16,2.6,36.55,15.14,19.14,11.06,18.1,"Republican"
"870","Ringgold County","Iowa",709,26.12,1968,72.51,37,1.36,1.9,4.1,37.5,22.4,11.5,15.8,6.8,0.424,67898,85147,1386.9,3.38,4663,1.52,95.37,0.04,0.15,0.17,0,0.06,2.68,41.61,13.71,15.55,14.94,14.19,"Republican"
"871","Sac County","Iowa",1389,25.09,4061,73.37,85,1.54,2.7,3.7,34.4,23.4,14.2,16.1,5.6,0.4398,68778,88446,1489.3,6.57,9814,3.61,93.35,0.47,0.11,0.32,0.06,0.23,1.85,33.93,13.48,20,12.31,20.28,"Republican"
"872","Scott County","Iowa",46926,50.68,43683,47.17,1990,2.15,2,4.1,26.6,21.1,11.4,22.3,12.6,0.4606,72792,98290,1186.46,146.92,174669,6.92,77.05,7.84,0.19,2.76,0.03,0.3,4.91,41.11,15.03,19.68,8.6,15.57,"Democrat"
"873","Shelby County","Iowa",1959,28.83,4697,69.12,139,2.05,1.7,4,34.7,22,14.7,16.3,6.5,0.4503,70295,91452,1530.1,7.67,11746,3.51,92.71,0.45,0.25,0.42,0.03,0.08,2.56,38.8,10.78,20.62,10.21,19.58,"Republican"
"874","Sioux County","Iowa",3019,15.85,15680,82.31,352,1.85,4.5,3.9,28.8,17.6,13.9,22.3,8.9,0.4063,81914,98083,1988.88,18.01,35872,13.7,83.4,0.51,0.24,0.61,0.01,0.12,1.4,37.38,14.12,19.7,12.65,16.14,"Republican"
"875","Story County","Iowa",29175,57.16,20340,39.85,1523,2.98,0.8,2.1,16.2,17.3,11,30.1,22.4,0.4779,66197,89244,1482.88,66.47,98537,5.11,81.13,3.02,0.23,5.52,0.03,0.34,4.61,46.39,17.96,18.58,6.67,10.41,"Democrat"
"876","Tama County","Iowa",3577,39.53,5303,58.61,168,1.86,3.5,5.5,41.6,18.8,12.3,12.8,5.5,0.4298,65483,81745,1867.41,9.11,17135,10.53,77.53,0.73,7.34,0.47,0.01,0.16,3.23,28.03,16.88,20.23,12.71,22.14,"Republican"
"877","Taylor County","Iowa",746,22.96,2463,75.81,40,1.23,3.8,5.2,41.3,22,12.2,11.8,3.7,0.4101,65926,79167,1377.62,4.29,5896,6.77,89.96,0.02,0.22,0.25,0.02,0.36,2.41,31.01,16.81,13.72,15.25,23.21,"Republican"
"878","Union County","Iowa",2061,33.32,4010,64.83,114,1.84,1.5,5.7,34.5,25,9.2,17.3,6.8,0.4209,56495,72410,1097.24,11.03,12138,3.29,92.46,0.94,0.21,0.54,0.06,0.08,2.43,30.23,16.54,19.74,11.24,22.25,"Republican"
"879","Van Buren County","Iowa",875,23.08,2859,75.42,57,1.5,8.5,3.1,38.7,21.2,10.1,12.6,5.9,0.4639,58417,79818,1255.61,5.74,7203,1.58,95.49,0.36,0.08,0.33,0,0.04,2.11,30.03,11.96,17.42,17.55,23.04,"Republican"
"880","Wapello County","Iowa",5821,37.24,9516,60.87,296,1.89,4.8,7.3,38,19.5,12,11.6,6.9,0.4312,56209,72293,1118.47,31.55,35437,12.22,77.02,4.07,0.19,1.76,1.46,0.25,3.03,27.68,15.04,19.23,9.95,28.11,"Republican"
"881","Warren County","Iowa",12574,40.51,17782,57.29,683,2.2,0.9,2.6,30,21.1,13.2,22.3,9.8,0.3973,89741,105626,1475.41,35.72,52403,3.16,91.4,0.86,0.15,0.73,0.03,0.32,3.34,39.39,14.23,21.27,11.92,13.18,"Republican"
"882","Washington County","Iowa",4561,38.77,6971,59.25,233,1.98,3.4,4.3,36.3,21.7,10,16.2,8.2,0.3939,71122,87585,1473.26,15.3,22565,7.14,88.45,0.78,0.08,0.5,0.01,0.36,2.66,34.53,18.14,18.08,14.51,14.75,"Republican"
"883","Wayne County","Iowa",727,23.38,2338,75.2,44,1.42,6.7,3.8,41.5,20.4,12.6,11.2,3.8,0.4598,58257,80360,1360.96,4.76,6497,0.94,95.86,0.15,0.26,0.37,0.02,0.17,2.23,29.77,13.01,14.94,17.7,24.59,"Republican"
"884","Webster County","Iowa",6613,37.11,10938,61.37,271,1.52,1.9,6.3,33.7,24.3,13.1,15.4,5.3,0.438,65335,79761,1853.67,19.95,36999,5.58,84.79,4.79,0.3,0.8,0.04,0.21,3.48,30.07,18.31,20.31,12.93,18.37,"Republican"
"885","Winnebago County","Iowa",2135,35.76,3707,62.09,128,2.14,1.7,3.8,31.8,19.7,17.1,19.6,6.2,0.4392,62853,81985,1037.26,10.32,10679,5.56,88.7,1.91,0.12,0.88,0.03,0.35,2.45,32.92,13.87,19.85,10.63,22.73,"Republican"
"886","Winneshiek County","Iowa",5617,46.56,6235,51.68,212,1.76,2.2,2.6,33,16.8,14.8,19.6,11,0.4404,67770,90134,1786.69,11.22,20070,2.91,93.2,0.59,0.09,0.89,0.06,0.16,2.09,37.64,18.29,15.88,11.97,16.21,"Republican"
"887","Woodbury County","Iowa",18704,41.23,25736,56.73,922,2.03,6.1,6.3,32.7,20,11,15.8,8.1,0.4291,68399,85370,2260.79,46.68,105941,17.69,68.19,4.79,1.79,2.79,0.61,0.34,3.8,31.66,16.4,19.26,10.25,22.44,"Republican"
"888","Worth County","Iowa",1596,36.12,2738,61.97,84,1.9,1.2,4.5,35.6,22.4,16.8,13.7,5.8,0.4028,69897,85650,1036.31,7.16,7443,2.83,93.32,0.81,0.09,0.35,0.01,0.19,2.39,33.43,14.85,17.13,10.99,23.61,"Republican"
"889","Wright County","Iowa",1996,31.92,4136,66.13,122,1.95,2.1,5.2,35.3,25.2,11.2,16.7,4.3,0.4324,58240,77774,1503.26,8.58,12943,18.5,78.09,0.56,0.12,0.52,0.06,0.12,2.04,35.84,14.49,15.94,13.89,19.84,"Republican"
"890","Allen County","Kansas",1559,26.69,4155,71.12,128,2.19,1.8,5.5,34.8,27.2,11,12.3,7.3,0.3881,55059,65234,1295.76,9.69,12526,4.01,87.75,1.38,1.08,0.53,0.02,0.31,4.93,30.45,15.95,18.49,13.11,22,"Republican"
"891","Anderson County","Kansas",765,20.56,2874,77.26,81,2.18,8.8,4.7,40.5,21.5,9.2,9,6.2,0.4187,67651,74368,1501.26,5.19,7836,1.98,92.64,0.33,0.59,0.6,0,0.33,3.53,32.19,19.32,13.38,21.97,13.15,"Republican"
"892","Atchison County","Kansas",2314,31.65,4826,66,172,2.35,2.3,4,41.9,22.3,7.4,13.3,8.9,0.4292,55281,71685,1116.74,14.6,16348,3.57,85.18,4.8,0.48,0.49,0.04,0.3,5.15,34.89,21.11,20.46,9.98,13.56,"Republican"
"893","Barber County","Kansas",284,12.28,1992,86.12,37,1.6,1.4,7.1,33.7,23.3,10.9,17.9,5.7,0.4471,53774,74541,2937.24,1.39,4228,3.83,90.21,0.17,0.8,0.38,0.12,0.26,4.23,37.19,15.96,14.1,16.74,16.01,"Republican"
"894","Barton County","Kansas",2302,21,8480,77.37,179,1.63,2.7,7.6,30.4,27,10.6,15.3,6.4,0.4307,54634,72632,2318.71,10.99,25493,16.19,78.1,1.15,0.35,0.31,0.01,0.25,3.63,32.06,18.84,20.47,11.36,17.28,"Republican"
"895","Bourbon County","Kansas",1505,22.98,4910,74.96,135,2.06,3,7.3,30.3,24.7,11,15.6,8.1,0.4227,55826,72191,1645.84,8.75,14360,2.69,86.71,3.16,0.61,0.68,0.01,0.28,5.86,29.46,14.49,19.58,9.83,26.63,"Republican"
"896","Brown County","Kansas",1088,24.75,3206,72.93,102,2.32,1.3,5.2,38.9,23.8,10.8,15,5.1,0.4191,55876,72853,1478.55,6.42,9508,3.7,80.81,1.02,8.36,0.44,0.06,0.26,5.34,33.67,17.91,20.37,9.54,18.51,"Republican"
"897","Butler County","Kansas",9003,28.18,22250,69.65,693,2.17,1.6,4.2,27.6,24,10.5,20.8,11.2,0.4043,77724,94378,3702.95,18.26,67380,5.31,84.37,2.07,0.73,1.48,0.05,0.33,5.66,41.27,15.27,20.37,9.75,13.34,"Republican"
"898","Chase County","Kansas",341,23.07,1114,75.37,23,1.56,1.8,4.9,36,21.8,9,20.6,5.9,0.4734,52481,76004,2002.2,1.28,2572,8.63,86.63,0.7,0.31,0.31,0.04,0.35,3.03,30.87,14.24,19.47,12.44,22.98,"Republican"
"899","Chautauqua County","Kansas",212,12.97,1397,85.5,25,1.53,3.6,7.6,35.7,26.5,10.4,11.5,4.7,0.4404,51210,67791,1654.69,2.05,3379,4.08,83.52,0.68,5.47,0.53,0,0.06,5.65,33.96,23.09,11.62,15.77,15.55,"Republican"
"900","Cherokee County","Kansas",2163,24.18,6622,74.03,160,1.79,2.7,7.3,32.4,28.5,9.2,13,6.7,0.4114,53382,64116,1521.79,12.74,19362,2.65,83.88,0.41,3.98,0.34,0.13,0.18,8.43,27.59,18.98,19.56,11.96,21.91,"Republican"
"901","Cheyenne County","Kansas",220,15.71,1158,82.71,22,1.57,3,7.8,31.8,26.2,9,17.4,4.8,0.4536,52730,71667,2641.5,0.99,2616,9.1,84.98,0.23,0.27,0.46,0,0.15,4.82,39.8,18.15,17.99,12.38,11.68,"Republican"
"902","Clark County","Kansas",143,13.65,885,84.45,20,1.91,1.9,3.9,27.2,27.7,13.2,21.2,4.9,0.3879,58287,70781,2524.3,0.78,1991,10.2,83.78,0.05,1,1.21,0.05,0.35,3.37,37.32,15.96,17.55,13.95,15.22,"Republican"
"903","Clay County","Kansas",883,21.36,3129,75.69,122,2.95,2.6,3.2,34.8,25,8.1,17.7,8.6,0.4165,57765,71763,1671.31,4.84,8117,2.69,92.23,0.62,0.42,0.6,0,0.12,3.33,38.35,14.39,16.21,12.92,18.13,"Republican"
"904","Cloud County","Kansas",893,21.39,3182,76.23,99,2.37,2.3,1.9,30.8,27,15.6,14.4,8,0.4229,51197,66846,1852.73,4.86,9032,3.53,91.18,1.36,0.44,0.44,0.04,0.12,2.88,36.98,16.94,17.81,14.65,13.62,"Republican"
"905","Coffey County","Kansas",928,20.86,3407,76.6,113,2.54,2.4,3.8,32.5,28.7,10.4,15.4,6.8,0.3938,67645,84009,1623.62,5.13,8360,2.64,91.75,0.54,0.43,0.53,0.01,0.23,3.88,34.13,18.15,18.38,12.75,16.59,"Republican"
"906","Comanche County","Kansas",126,13.94,745,82.41,33,3.65,1.7,1.8,31.4,34.6,9.4,17,4.1,0.4032,49754,66123,2041.68,0.89,1689,5.8,89.99,0.59,0.12,0,0.06,0.18,3.26,39.07,13.55,18.91,15.49,12.98,"Republican"
"907","Cowley County","Kansas",4171,29.98,9442,67.87,298,2.14,2.2,6.1,29.4,25.8,12,15.8,8.7,0.4581,55726,74917,2915.65,11.89,34549,11.49,75.91,2.5,1.81,1.44,0.52,0.21,6.1,32.46,19.62,16.89,11.65,19.38,"Republican"
"908","Crawford County","Kansas",6179,36.96,10045,60.08,494,2.95,2.1,3.6,29.2,24.9,9.4,19.6,11.3,0.4656,49779,67083,1527.5,25.54,38972,6.97,81.95,2.31,0.82,1.18,0.49,0.31,5.97,34.07,18.55,19.84,9.49,18.05,"Republican"
"909","Decatur County","Kansas",208,14.27,1232,84.5,18,1.23,1.6,4.8,32.8,25.5,10.5,21.1,3.7,0.4254,49412,67705,2314.2,1.2,2764,2.75,92.8,0.33,0.25,0.36,0,0.11,3.4,34.71,18.35,19.65,14.53,12.77,"Republican"
"910","Dickinson County","Kansas",2040,22.06,7045,76.2,161,1.74,2,4.4,31.7,27.4,11,16.8,6.7,0.4286,62971,81081,2193.9,8.43,18402,4.92,89.4,0.57,0.4,0.4,0.11,0.37,3.83,36.63,15.74,18.25,12.82,16.56,"Republican"
"911","Doniphan County","Kansas",678,18.45,2949,80.27,47,1.28,2.9,6,33.6,29.6,9.1,11,7.8,0.4228,66358,77632,1019.1,7.36,7510,2.72,88.07,3.54,0.88,0.43,0.25,0.37,3.74,33.27,19.13,15.69,11.74,20.16,"Republican"
"912","Douglas County","Kansas",39436,68.54,16737,29.09,1367,2.38,1.5,2.4,19.3,18.3,6.2,29,23.3,0.4593,66153,89488,1180.43,100.89,118785,6.98,76,4.3,2.17,3.92,0.07,0.44,6.11,46.41,17.58,19.24,6.23,10.54,"Democrat"
"913","Edwards County","Kansas",267,18.9,1127,79.76,19,1.34,5.5,7,35.1,25.2,9.4,13.5,4.3,0.4206,52750,70588,1610.7,1.77,2907,21.43,74.2,0.48,0.52,0.03,0.03,0.07,3.23,31.86,16.04,17.44,17.14,17.51,"Republican"
"914","Elk County","Kansas",191,14.18,1130,83.89,26,1.93,3.9,9.1,36.3,26.5,5.9,12.6,5.6,0.4405,50000,66254,1668.64,1.47,2483,4.07,89.17,0.04,1.73,0.12,0,0,4.87,38.43,17.91,18.43,13.82,11.41,"Republican"
